flight_id,flight_day,route_id,aircraft_type,flight_hours,num_crew,avg_rate,total_hours_logged,crew_cost,role_mix,crew_flag
FL1013,2025-07-22,RT5145,wide-body,7.25,20.0,199.9,180.0,35981.1,4P / 16A,False
FL1020,2025-06-26,RT5145,wide-body,7.25,11.0,192.61,99.0,19067.94,2P / 9A,False
FL1023,2025-04-30,RT6772,narrow-body,2.5,7.0,144.91,28.0,4057.56,2P / 5A,False
FL1041,2025-07-19,RT6772,narrow-body,2.5,8.0,138.3,32.0,4425.46,2P / 6A,False
FL1042,2025-07-14,RT6772,narrow-body,2.5,7.0,147.79,28.0,4138.06,2P / 5A,False
FL1049,2025-05-06,RT6772,narrow-body,2.5,7.0,150.61,28.0,4217.2,2P / 5A,False
FL1051,2025-07-23,RT3577,narrow-body,2.03,7.0,151.25,28.0,4234.98,2P / 5A,False
FL1057,2025-05-28,RT7144,wide-body,16.88,10.0,198.96,190.0,37802.4,2P / 8A,False
FL1076,2025-07-15,RT6772,narrow-body,2.5,7.0,151.1,28.0,4230.77,2P / 5A,False
FL1088,2025-06-27,RT9374,,16.88,10.0,192.62,190.0,36598.18,2P / 8A,False
FL1091,2025-07-01,RT6565,,2.03,7.0,140.68,28.0,3938.95,2P / 5A,False
FL1098,2025-07-03,RT5358,,3.68,7.0,176.23,42.0,7401.5,2P / 5A,False
FL1101,2025-06-25,RT3577,narrow-body,2.03,7.0,147.9,28.0,4141.17,2P / 5A,False
FL1108,2025-06-21,RT6565,,2.03,7.0,145.66,28.0,4078.47,2P / 5A,False
FL1111,2025-07-13,RT7144,wide-body,16.88,10.0,200.72,190.0,38136.04,2P / 8A,False
FL1116,2025-06-15,RT6772,narrow-body,2.5,7.0,148.44,28.0,4156.2,2P / 5A,False
FL1137,2025-05-02,RT5145,wide-body,7.25,11.0,191.35,99.0,18943.2,2P / 9A,False
FL1152,2025-04-25,RT4447,,4.95,,,,,,
FL1160,2025-05-28,RT5145,wide-body,7.25,10.0,203.96,90.0,18356.22,2P / 8A,False
FL1164,2025-06-23,RT6565,,2.03,8.0,135.99,32.0,4351.73,2P / 6A,False
FL1165,2025-06-22,RT3577,narrow-body,2.03,7.0,146.67,28.0,4106.69,2P / 5A,False
FL1170,2025-07-17,RT6628,narrow-body,3.68,7.0,180.77,42.0,7592.34,2P / 5A,False
FL1171,2025-07-07,RT5145,wide-body,7.25,10.0,199.01,90.0,17911.26,2P / 8A,False
FL1183,2025-04-29,RT7144,wide-body,16.88,11.0,197.42,209.0,41260.02,2P / 9A,False
FL1189,2025-07-02,RT9374,,16.88,10.0,194.56,190.0,36965.64,2P / 8A,False
